Id,Name,Country,Team,Position,Points
7,Kimi Raikkonen,Finland,Alfa Romeo,15,1
99,Antonio Giovinazzi,Italy,Alfa Romeo,16,1
14,Fernando Alonso,Spain,Alpine,11,19
31,Esteban Ocon,France,Alpine,13,12
5,Sebastian Vettel,Germany,Aston Martin,10,30
18,Lance Stroll,Canada,Aston Martin,12,14
4,Lando Norris,United Kingdom,McLaren,4,86
3,Daniel Ricciardo,Australia,McLaren,9,34
44,Lewis Hamilton,United Kingdom,Mercedes,2,138
77,Valtteri Bottas,Finland,Mercedes,5,74
33,Max Verstappen,Netherlands,Red Bull,1,157
11,Sergio Perez,Mexico,Red Bull,3,96
10,Yuki Tsunoda,Japan,AlphaTauri,14,9
22,Pierre Gasly,France,AlphaTauri,8,37
16,Charles Leclerc,Monaco,Ferrari,6,58
55,Carlos Sainz,Spain,Ferrari,7,50
47,Mick Schumacher,Germany,Haas,18,0
9,Nikita Mazepin,Russia,Haas,19,0
63,George Russell,United Kingdom,Williams,17,0
6,Nicholas Latifi,Canada,Williams,20,0
