Driver,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
7,11,13,DNF,12,11,10,17,11,,,,,,,,,,,,,,,,,,,,,,
99,12,14,12,15,10,11,15,15,,,,,,,,,,,,,,,,,,,,,,
14,DNF,10,8,17,13,6,8,9,,,,,,,,,,,,,,,,,,,,,,
31,13,9,7,9,9,DNF,14,14,,,,,,,,,,,,,,,,,,,,,,
5,15,15,13,13,5,2,9,12,,,,,,,,,,,,,,,,,,,,,,
18,10,8,14,11,8,DNF,10,8,,,,,,,,,,,,,,,,,,,,,,
4,4,3,5,8,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,
3,7,6,9,6,12,9,6,13,,,,,,,,,,,,,,,,,,,,,,
44,1,2,1,1,7,15,2,2,,,,,,,,,,,,,,,,,,,,,,
77,3,DNF,3,3,DNF,12,4,3,,,,,,,,,,,,,,,,,,,,,,
33,2,1,2,2,1,18,1,1,,,,,,,,,,,,,,,,,,,,,,
11,5,11,4,5,4,1,3,4,,,,,,,,,,,,,,,,,,,,,,
10,9,12,15,DNF,16,7,13,10,,,,,,,,,,,,,,,,,,,,,,
22,17,7,10,10,6,3,7,DNF,,,,,,,,,,,,,,,,,,,,,,
16,6,4,6,4,,4,16,7,,,,,,,,,,,,,,,,,,,,,,
55,8,5,11,7,2,8,11,6,,,,,,,,,,,,,,,,,,,,,,
47,16,16,17,18,18,13,19,16,,,,,,,,,,,,,,,,,,,,,,
9,DNF,17,19,19,17,14,20,18,,,,,,,,,,,,,,,,,,,,,,
63,14,DNF,16,14,14,17,12,DNF,,,,,,,,,,,,,,,,,,,,,,
6,18,DNF,18,16,15,16,18,17,,,,,,,,,,,,,,,,,,,,,,
